76B10.102	ＧＳ科目	AI入門	月3	八柳　祐一	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76B10.103	ＧＳ科目	AI入門	火1	八柳　祐一	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76B10.104	ＧＳ科目	AI入門	火3	八柳　祐一	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76C10.101	ＧＳ科目	情報の科学	火3	WENG WEI	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76C10.102	ＧＳ科目	情報の科学	火4	WENG WEI	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76C10.103	ＧＳ科目	情報の科学	金3	WENG WEI	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76C10.104	ＧＳ科目	情報の科学	金4	WENG WEI	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76D10.101	ＧＳ科目	デザイン思考入門	火2	秋田　純一	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76D10.102	ＧＳ科目	デザイン思考入門	月3	林　透	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76D10.103	ＧＳ科目	デザイン思考入門	木5	山下　貴弘	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76E10a.101	ＧＳ科目	論理学と数学の基礎（論理学から見る世界）	火3	黒川　英徳	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76E10a.102	ＧＳ科目	論理学と数学の基礎（論理学から見る世界）	火5	黒川　英徳	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76E10b.101	ＧＳ科目	論理学と数学の基礎（数学的発想法）	木4	川越　謙一	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
77619	自由履修科目	AIと社会情動学習（SEL）	水3	堤　敦朗	全学生
77621.01	自由履修科目	英語学術リテラシー科目(Presentation)	火3	RUNNER JACOB WAYNE	全学生（2023年度以前入学者）
77622.01	自由履修科目	英語学術リテラシー科目(Interaction)	火5	大藪　加奈	全学生（2023年度以前入学者）
77623.01	自由履修科目	英語学術リテラシー科目(English for STEM)	木4	山村　公恵	全学生（2023年度以前入学者）
77624.01	自由履修科目	英語学術リテラシー科目(Science and Society)	月5	EBNOU MALAININE	全学生（2023年度以前入学者）
77625.01	自由履修科目	英語学術リテラシー科目(Reading and Discussion)	水3	BROWN DALE COLIN	全学生（2023年度以前入学者）
77627	自由履修科目	『生と死の倫理』について	水4	小田桐　拓志	全学生
77630	自由履修科目	考古学実習１	金3〜4	足立　拓朗	全学生
77634	自由履修科目	考古学実習A	金3〜4	足立　拓朗	全学生
