73658.01	自由履修科目	金沢大学の歴史を学ぶ（自校教育入門）	月2	林　透	全学生
73671	自由履修科目	ソーシャルビジネス概論	金4	篠田　隆行	全学生
73677.01	自由履修科目	地域のトップリーダーを繋ぐⅠ	月5	渡辺　達雄	全学生（融合学域・人文学類・法学類・経済学類・地域創造学類・国際学類優先）
73690	自由履修科目	ビジネスと政治・経済	木3	大友　信秀	2年以上限定（先導学類優先）
73701.01	自由履修科目	ピアノ教育の社会史	木3	吉永　契一郎	履修条件あり（ピアノ経験者）
73712.01	自由履修科目	Unityゲーム開発演習	水3	東　昭孝	全学生
73B00a.101	ＧＳ科目	クリティカル・シンキング（英語クラス）	木2	DALISSIER MICHEL PIERRE EDOUARD	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
73B00a.102	ＧＳ科目	クリティカル・シンキング（英語クラス）	木3	DALISSIER MICHEL PIERRE EDOUARD	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
73C00a.101	ＧＳ科目	価値と情動の認知科学	月1	松井　三枝	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
73C00a.102	ＧＳ科目	価値と情動の認知科学	水1	松井　三枝	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
73C00a.103	ＧＳ科目	価値と情動の認知科学	月3	安永　大地	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
73C00a.104	ＧＳ科目	価値と情動の認知科学	木3	堀田　優子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
73E00a.101	ＧＳ科目	芸術と自己表現	水2	江藤　望	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
73E00a.102	ＧＳ科目	芸術と自己表現	火2	鷲山　靖	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
73E00a.103	ＧＳ科目	芸術と自己表現	水3	小野　隆太	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
