71C10a.333,ＧＳ科目,グローバル時代の社会学,水3,眞住　優助,全学生（総合教育部学生優先）,64,81,12,62,17,2,0,0
71C10a.342,ＧＳ科目,グローバル時代の社会学,木2,渡辺　達雄,全学生（総合教育部学生優先）,95,81,11,56,17,7,0,1
71C10a.344,ＧＳ科目,グローバル時代の社会学,木4,渡辺　達雄,全学生（総合教育部学生優先）,95,57,7,30,21,3,2,1
71D10a.325,ＧＳ科目,ケーススタディによる応用倫理学（英語クラス）,火5,小田桐　拓志,全学生（総合教育部学生優先）,97,3,0,2,1,0,0,0
71D10a.335,ＧＳ科目,ケーススタディによる応用倫理学（英語クラス）,水5,小田桐　拓志,全学生（総合教育部学生優先）,97,3,0,2,1,0,0,0
71D10a.343,ＧＳ科目,ケーススタディによる応用倫理学,木3,佐々木　拓,全学生（総合教育部学生優先）,60,102,12,86,13,2,1,0
71D10a.354,ＧＳ科目,ケーススタディによる応用倫理学（英語クラス）,金4,小田桐　拓志,全学生（総合教育部学生優先）,97,7,0,4,2,1,0,0
71D10a.355,ＧＳ科目,ケーススタディによる応用倫理学（英語クラス）,金5,小田桐　拓志,全学生（総合教育部学生優先）,97,2,0,1,0,1,0,0
71E20a.314,ＧＳ科目,地球生物圏と人間,月4,佐藤　圭,全学生（総合教育部学生優先）,99,112,16,78,24,9,1,0
71E20a.324,ＧＳ科目,地球生物圏と人間,火4,佐藤　圭,全学生（総合教育部学生優先）,99,89,12,69,17,2,1,0
71E20a.334,ＧＳ科目,地球生物圏と人間（英語クラス）,水4,佐藤　圭,全学生（総合教育部学生優先）,99,10,1,9,0,1,0,0
72286,自由履修科目,ゼミ／漢文史料読解Ｂ１,金5,古畑　徹,全学生（2020年度以降入学者履修登録用）,30,1,0,1,0,0,0,0
72291,自由履修科目,地域創造学特別講義C,火3,田邊　浩,全学生（地域創造学類以外）（2021年度以前入学者履修登録用）,200,6,0,4,1,1,0,0
72501.03,自由履修科目,日本国憲法概説,水5,佃　貴弘,法学類の1年次以外限定,250,42,2,40,0,2,0,0
72501.04,自由履修科目,日本国憲法概説,水2〜3,山崎　友也,法学類の1年次以外限定,80,20,6,17,1,2,0,0
72595.01,自由履修科目,東洋史要説,火5,古畑　徹,４年次以上限定（2019年度以前入学者履修登録用）,70,0,0,0,0,0,0,0
72A10a.331,ＧＳ科目,哲学（自我論）,水1,GRUENEBERGPATRICK,全学生（総合教育部学生優先）,99,63,9,55,8,0,0,0
72A10a.333,ＧＳ科目,哲学（自我論）（英語クラス）,水3,GRUENEBERGPATRICK,全学生（総合教育部学生優先）,50,3,2,3,0,0,0,0
72A10a.335,ＧＳ科目,哲学（自我論）,水5,GRUENEBERGPATRICK,全学生（総合教育部学生優先）,99,39,0,30,7,2,0,0
72A10a.341,ＧＳ科目,哲学（自我論）,木1,GRUENEBERGPATRICK,全学生（総合教育部学生優先）,99,46,4,46,0,0,0,0
72B10a.313,ＧＳ科目,パーソナリティ心理学（英語クラス）,月3,菊谷　まり子,全学生（総合教育部学生優先）,30,8,0,6,1,1,0,0
72B10a.314,ＧＳ科目,パーソナリティ心理学,月4,岡田　努,全学生（総合教育部学生優先）,99,53,5,32,18,3,0,0
72B10a.323,ＧＳ科目,パーソナリティ心理学（英語クラス）,火3,菊谷　まり子,全学生（総合教育部学生優先）,30,2,0,1,1,0,0,0
72B10a.324,ＧＳ科目,パーソナリティ心理学,火4,菊谷　まり子,全学生（総合教育部学生優先）,85,27,1,14,10,3,0,0
72B10a.332,ＧＳ科目,パーソナリティ心理学,水2,荒木　友希子,全学生（総合教育部学生優先）,99,56,3,39,16,1,0,0
72C10a.315,ＧＳ科目,グローバル時代の文学,月5,上田　望,全学生（総合教育部学生優先）,50,19,1,10,9,0,0,0
72C10a.322,ＧＳ科目,グローバル時代の文学,火2,杉山　欣也,全学生（総合教育部学生優先）,50,23,1,17,4,1,1,0
72C10a.32a,ＧＳ科目,グローバル時代の文学（英語クラス）,火2,山口　善成,全学生（総合教育部学生優先）,50,0,0,0,0,0,0,0
72C10a.342,ＧＳ科目,グローバル時代の文学,木2,佐藤　文彦,全学生（総合教育部学生優先）,50,44,3,29,14,1,0,0
72C10a.353,ＧＳ科目,グローバル時代の文学,金3,佐藤　文彦,全学生（総合教育部学生優先）,50,42,1,29,13,0,0,0
72C10a.354,ＧＳ科目,グローバル時代の文学,金4,佐藤　文彦,全学生（総合教育部学生優先）,50,41,1,40,1,0,0,0
72D20a.323,ＧＳ科目,健康科学,火3,唐島　成宙,全学生（総合教育部学生優先）,50,62,10,49,11,2,0,0
72D20a.324,ＧＳ科目,健康科学,火4,唐島　成宙,全学生（総合教育部学生優先）,50,31,1,19,12,0,0,0
72D20a.331,ＧＳ科目,健康科学,水1,唐島　成宙,全学生（総合教育部学生優先）,50,35,2,19,9,7,0,0
72D20a.334,ＧＳ科目,健康科学,水4,林　研至,全学生（総合教育部学生優先）,50,52,3,36,15,1,0,0
72D20a.343,ＧＳ科目,健康科学,木3,唐島　成宙,全学生（総合教育部学生優先）,50,61,4,48,11,2,0,0
72D20a.344,ＧＳ科目,健康科学,木4,唐島　成宙,全学生（総合教育部学生優先）,50,37,5,21,12,0,3,1
72E20a.314,ＧＳ科目,細胞・分子生物学,月4,滝野　隆久,全学生（総合教育部学生優先）,99,16,1,9,3,4,0,0
72E20a.324,ＧＳ科目,細胞・分子生物学,火4,滝野　隆久,全学生（総合教育部学生優先）,99,21,2,16,3,2,0,0
72E20a.331,ＧＳ科目,細胞・分子生物学,水1,滝野　隆久,全学生（総合教育部学生優先）,99,23,1,18,5,0,0,0
72E20a.351,ＧＳ科目,細胞・分子生物学,金1,伊藤　正樹,理工学域優先,99,9,0,9,0,0,0,0
72E20a.352,ＧＳ科目,細胞・分子生物学（英語クラス）,金2,上野　将也,全学生（総合教育部学生優先）,50,9,2,6,2,1,0,0
72F0G.391,ＧＳ科目,エクササイズ&スポーツ実技ゴルフ,集中,村山　孝之,全学生（総合教育部学生優先）,20,12,4,12,0,0,0,0
72F0G.392,ＧＳ科目,エクササイズ&スポーツ実技ゴルフ,集中,井箟　敬,全学生（総合教育部学生優先）,20,4,1,4,0,0,0,0
72F0M.343,ＧＳ科目,エクササイズ&スポーツ実技バレーボール,木3,櫻井　貴志,3年生以上優先,42,12,1,12,0,0,0,0
72F0Pa.324,ＧＳ科目,エクササイズ&スポーツ実技サッカー,火4,増田　和実,全学生（総合教育部学生優先）,30,9,1,8,1,0,0,0
72F0Sa.342,ＧＳ科目,エクササイズ&スポーツ実技フィットネス＆ダンス,木2,髙木　香代子,全学生（総合教育部学生優先）,30,15,3,12,3,0,0,0
72F0ba.332,ＧＳ科目,エクササイズ&スポーツ実技ジョグ＆サーキット,水2,木村　岳裕,全学生（総合教育部学生優先）,25,4,0,3,1,0,0,0
72F0ha.324,ＧＳ科目,エクササイズ&スポーツ実技トレーニング（基礎）,火4,木村　岳裕,全学生（総合教育部学生優先）,25,11,2,10,1,0,0,0
72F0ia.314,ＧＳ科目,エクササイズ&スポーツ実技トレーニング（発展）,月4,木村　岳裕,全学生（総合教育部学生優先）,20,2,0,0,1,1,0,0
72F0ka.333,ＧＳ科目,エクササイズ&スポーツ実技バドミントン,水3,村山　孝之,全学生（総合教育部学生優先）,24,37,7,28,9,0,0,0
72F0ka.334,ＧＳ科目,エクササイズ&スポーツ実技バドミントン,水4,村山　孝之,全学生（総合教育部学生優先）,18,19,5,16,3,0,0,0
72F0o.331,ＧＳ科目,エクササイズ&スポーツ実技フィットネス,水1,芝口　翼,全学生（総合教育部学生優先）,24,9,1,6,2,0,0,1
72F0sa.332,ＧＳ科目,エクササイズ&スポーツ実技ヨガ,水2,藤谷　かおる,全学生（総合教育部学生優先）,15,18,2,15,2,1,0,0
72F0za.341,ＧＳ科目,エクササイズ&スポーツ実技テニス（基礎）,木1,芝口　翼,全学生（総合教育部学生優先）,32,6,0,6,0,0,0,0
72F0zad.31,ＧＳ科目,エクササイズ&スポーツ実技バスケットボール（基礎）,月3,野中　雄大,全学生（総合教育部学生優先）,30,7,1,5,1,1,0,0
72F0zad.32,ＧＳ科目,エクササイズ&スポーツ実技バスケットボール（基礎）,火2,野中　雄大,全学生（総合教育部学生優先）,30,6,0,6,0,0,0,0
72F0zae.32,ＧＳ科目,エクササイズ&スポーツ実技バスケットボール（発展）,火4,野中　雄大,全学生（総合教育部学生優先）,30,1,0,1,0,0,0,0
72F0zag.34,ＧＳ科目,エクササイズ&スポーツ実技テニス,木2,芝口　翼,全学生（総合教育部学生優先）,32,13,3,11,1,0,0,1
73302.01,自由履修科目,ゼミ／角間の里山づくり秋編,水4,佐川　哲也,全学生,15,27,8,25,1,1,0,0
73303,自由履修科目,コーヒーと社会,火3,玉井　郁巳,全学生,100,137,49,119,16,2,0,0
73505.02,自由履修科目,地学実験,金3〜4,塚脇　真二,全学生,18,4,1,4,0,0,0,0
73616.01,自由履修科目,環境動態学概説Ⅰ,水1,塚脇　真二,全学生（国際学類をのぞく）,35,2,1,2,0,0,0,0
